2484898766 function calls (2481869999 primitive calls) in 746.877 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2539(ptp)
      200    0.000    0.000    0.000    0.000 fromnumeric.py:2633(_amax_dispatcher)
      200    0.000    0.000    0.001    0.000 fromnumeric.py:2638(amax)
      100    0.000    0.000    0.000    0.000 fromnumeric.py:2928(_prod_dispatcher)
      100    0.000    0.000    0.002    0.000 fromnumeric.py:2933(prod)
   232510    0.105    0.000    0.531    0.000 fromnumeric.py:51(_wrapfunc)
   814026    0.546    0.000    2.164    0.000 fromnumeric.py:69(_wrapreduction)
   814026    0.219    0.000    0.219    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.000    0.000 function_base.py:276(_average_dispatcher)
        1    0.000    0.000    0.000    0.000 function_base.py:280(average)
      101    0.000    0.000    0.000    0.000 function_base.py:722(_copy_dispatcher)
      101    0.000    0.000    0.009    0.000 function_base.py:726(copy)
 23241000   25.009    0.000   44.702    0.000 functools.py:35(update_wrapper)
 11620500    2.053    0.000    2.053    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
      200    0.001    0.000    0.001    0.000 getlimits.py:514(__init__)
      200    0.000    0.000    0.000    0.000 getlimits.py:538(max)
        2    0.000    0.000    0.000    0.000 graphlib.py:10(__init__)
        2    0.000    0.000    0.000    0.000 graphlib.py:106(get_ready)
        3    0.000    0.000    0.000    0.000 graphlib.py:132(is_active)
        2    0.000    0.000    0.000    0.000 graphlib.py:149(done)
        1    0.000    0.000    0.000    0.000 graphlib.py:196(_find_cycle)
        1    0.000    0.000    0.000    0.000 graphlib.py:42(__init__)
        3    0.000    0.000    0.000    0.000 graphlib.py:52(_get_nodeinfo)
        2    0.000    0.000    0.000    0.000 graphlib.py:57(add)
        1    0.000    0.000    0.000    0.000 graphlib.py:84(prepare)
        1    0.000    0.000    0.000    0.000 graphlib.py:95(<listcomp>)
     1000    0.000    0.000    0.000    0.000 inspect.py:159(isfunction)
      500    0.004    0.000    0.012    0.000 inspect.py:2152(_signature_from_function)
      500    0.001    0.000    0.013    0.000 inspect.py:2246(_signature_from_callable)
     6500    0.003    0.000    0.005    0.000 inspect.py:2498(__init__)
    19000    0.001    0.000    0.001    0.000 inspect.py:2548(name)
    12000    0.000    0.000    0.000    0.000 inspect.py:2560(kind)
      500    0.001    0.000    0.002    0.000 inspect.py:2781(__init__)
     7000    0.001    0.000    0.001    0.000 inspect.py:2830(<genexpr>)
      500    0.000    0.000    0.014    0.000 inspect.py:2859(from_callable)
      500    0.000    0.000    0.000    0.000 inspect.py:2865(parameters)
      500    0.000    0.000    0.014    0.000 inspect.py:3111(signature)
      500    0.000    0.000    0.000    0.000 inspect.py:494(unwrap)
      500    0.000    0.000    0.000    0.000 inspect.py:514(_is_wrapper)
 12550187    1.756    0.000    2.846    0.000 inspect.py:73(isclass)
        2    0.000    0.000    0.001    0.000 live.py:104(start)
        2    0.000    0.000    0.002    0.001 live.py:126(stop)
        2    0.000    0.000    0.000    0.000 live.py:175(_enable_redirect_io)
        2    0.000    0.000    0.000    0.000 live.py:185(_disable_redirect_io)
        2    0.000    0.000    0.000    0.000 live.py:19(__init__)
        6    0.000    0.000    0.001    0.000 live.py:194(renderable)
        6    0.000    0.000    0.003    0.001 live.py:216(refresh)
        6    0.000    0.000    0.000    0.000 live.py:245(process_renderables)
        2    0.000    0.000    0.000    0.000 live.py:25(stop)
        2    0.000    0.000    0.000    0.000 live.py:51(__init__)
        2    0.000    0.000    0.000    0.000 live.py:91(is_started)
        8    0.000    0.000    0.001    0.000 live.py:96(get_renderable)
        2    0.000    0.000    0.000    0.000 live_render.py:28(__init__)
        6    0.000    0.000    0.000    0.000 live_render.py:39(set_renderable)
        6    0.000    0.000    0.000    0.000 live_render.py:47(position_cursor)
       34    0.000    0.000    0.002    0.000 live_render.py:82(__rich_console__)
   116205    0.038    0.000    0.057    0.000 logger.py:23(_squeeze_time)
   116205    0.120    0.000    0.178    0.000 logger.py:39(short_format_time)
        8    0.000    0.000    0.000    0.000 markup.py:103(render)
        8    0.000    0.000    0.000    0.000 markup.py:29(__str__)
       24    0.000    0.000    0.000    0.000 markup.py:70(_parse)
       64    0.000    0.000    0.000    0.000 measure.py:24(normalize)
       76    0.000    0.000    0.000    0.000 measure.py:34(with_maximum)
       28    0.000    0.000    0.000    0.000 measure.py:59(clamp)
    32/16    0.000    0.000    0.000    0.000 measure.py:78(get)
   116304    0.014    0.000    0.014    0.000 multiarray.py:1071(copyto)
   697215    0.060    0.000    0.060    0.000 multiarray.py:1368(may_share_memory)
      200    0.000    0.000    0.000    0.000 multiarray.py:148(concatenate)
      100    0.000    0.000    0.000    0.000 multiarray.py:883(bincount)
      103    0.000    0.000    0.001    0.000 multiclass.py:118(is_multilabel)
      101    0.000    0.000    1.111    0.011 multiclass.py:180(check_classification_targets)
      103    0.030    0.000    1.121    0.011 multiclass.py:203(type_of_target)
      100    0.000    0.000    0.016    0.000 numeric.py:149(ones)
        1    0.000    0.000    0.000    0.000 numeric.py:1858(isscalar)
   116204    0.076    0.000    0.325    0.000 numeric.py:289(full)
  1627048    0.348    0.000    0.510    0.000 numerictypes.py:284(issubclass_)
   813524    0.447    0.000    1.003    0.000 numerictypes.py:358(issubdtype)
       42    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
